,FIPS Code,JUL21 SNAP Households
1074,23000,92341
1075,24001,8511
1076,24003,27322
1077,24005,74405
1078,24009,4463
1079,24011,3908
1080,24013,5276
1081,24015,8329
1082,24017,11103
1083,24019,4763
1084,24021,9964
1085,24023,2286
1086,24025,14556
1087,24027,11141
1088,24029,1600
1089,24031,42990
1090,24033,80410
1091,24035,2199
1092,24037,6842
1093,24039,3444
1094,24041,2624
1095,24043,14031
1096,24045,12156
1097,24047,4396
1098,24510,126065
1099,25000,557458
1100,26001,708
1101,26003,399
1102,26005,4722
1103,26007,2252
1104,26009,1021
1105,26011,1119
1106,26013,473
1107,26015,2402
1108,26017,7508
1109,26019,707
1110,26021,10890
1111,26023,2315
1112,26025,11432
1113,26027,2940
1114,26029,907
1115,26031,1571
1116,26033,1928
1117,26035,3227
1118,26037,2279
1119,26039,1042
1120,26041,2197
1121,26043,1308
1122,26045,4848
1123,26047,1114
1124,26049,40251
1125,26051,1859
1126,26053,1273
1127,26055,3293
1128,26057,2488
1129,26059,2694
1130,26061,1660
1131,26063,1748
1132,26065,20415
1133,26067,3270
1134,26069,2286
1135,26071,813
1136,26073,3750
1137,26075,9973
1138,26077,16057
1139,26079,1129
1140,26081,34891
1141,26083,95
1142,26085,1439
1143,26087,3727
1144,26089,376
1145,26091,5041
1146,26093,4002
1147,26095,420
1148,26097,450
1149,26099,53521
1150,26101,1592
1151,26103,3005
1152,26105,1938
1153,26107,2465
1154,26109,1225
1155,26111,4176
1156,26113,851
1157,26115,7428
1158,26117,4085
1159,26119,708
1160,26121,16816
1161,26123,3776
1162,26125,50200
1163,26127,1949
1164,26129,1986
1165,26131,373
1166,26133,1497
1167,26135,729
1168,26137,1553
1169,26139,7576
1170,26141,758
1171,26143,2217
1172,26145,18437
1173,26147,10301
1174,26149,3685
1175,26151,2542
1176,26153,507
1177,26155,3974
1178,26157,3382
1179,26159,5322
1180,26161,14005
1181,26163,210666
1182,26165,2681
1183,27001,695
1184,27003,10152
1185,27005,1048
1186,27007,2111
1187,27009,1889
1188,27011,221
1189,27013,2609
1190,27015,769
1191,27017,1405
1192,27019,1389
1193,27021,2004
