,FIPS,Jan22 SNAP Households
871,20173,25943.0
872,20175,655.0
873,20177,9322.0
874,20179,27.0
875,20181,209.0
876,20183,90.0
877,20185,110.0
878,20187,25.0
879,20189,69.0
880,20191,903.0
881,20193,127.0
882,20195,49.0
883,20197,115.0
884,20199,27.0
885,20201,88.0
886,20203,53.0
887,20205,425.0
888,20207,111.0
889,20209,9168.0
890,21001,1424.0
891,21003,1036.0
892,21005,689.0
893,21007,361.0
894,21009,2617.0
895,21011,1034.0
896,21013,3512.0
897,21015,2371.0
898,21017,1215.0
899,21019,3089.0
900,21021,1458.0
901,21023,465.0
902,21025,1938.0
903,21027,1159.0
904,21029,2329.0
905,21031,803.0
906,21033,679.0
907,21035,1245.0
908,21037,2478.0
909,21039,226.0
910,21041,602.0
911,21043,2048.0
912,21045,1218.0
913,21047,3829.0
914,21049,2161.0
915,21051,3010.0
916,21053,1022.0
917,21055,379.0
918,21057,644.0
919,21059,4532.0
920,21061,666.0
921,21063,600.0
922,21065,1440.0
923,21067,11879.0
924,21069,961.0
925,21071,4218.0
926,21073,2244.0
927,21075,678.0
928,21077,288.0
929,21079,913.0
930,21081,1132.0
931,21083,2031.0
932,21085,1733.0
933,21087,666.0
934,21089,1828.0
935,21091,349.0
936,21093,4062.0
937,21095,3734.0
938,21097,919.0
939,21099,1273.0
940,21101,2273.0
941,21103,625.0
942,21105,287.0
943,21107,2735.0
944,21109,1587.0
945,21111,37162.0
946,21113,2196.0
947,21115,2186.0
948,21117,5608.0
949,21119,1871.0
950,21121,4094.0
951,21123,756.0
952,21125,4775.0
953,21127,1582.0
954,21129,899.0
955,21131,1226.0
956,21133,2468.0
957,21135,1115.0
958,21137,1672.0
959,21139,391.0
960,21141,1463.0
961,21143,272.0
962,21145,3562.0
963,21147,1920.0
964,21149,404.0
965,21151,4376.0
966,21153,1638.0
967,21155,1164.0
968,21157,1243.0
969,21159,1267.0
970,21161,1211.0
971,21163,1027.0
972,21165,601.0
973,21167,957.0
974,21169,782.0
975,21171,769.0
976,21173,1851.0
977,21175,1017.0
978,21177,1818.0
979,21179,1735.0
980,21181,476.0
981,21183,1304.0
982,21185,566.0
983,21187,537.0
984,21189,776.0
985,21191,635.0
986,21193,3307.0
987,21195,5732.0
988,21197,1147.0
