,FIPS,JAN22 SNAP Households,State Name,County Name,Sep22 ACP Total Subscribers
396,13091,2379.0,GEORGIA,DODGE COUNTY,1181.0
397,13093,1240.0,GEORGIA,DOOLY COUNTY,595.0
398,13095,14758.0,GEORGIA,DOUGHERTY COUNTY,10257.0
399,13097,11171.0,GEORGIA,DOUGLAS COUNTY,6021.0
400,13099,1671.0,GEORGIA,EARLY COUNTY,1015.0
401,13100,290.0,,,
402,13103,2880.0,GEORGIA,EFFINGHAM COUNTY,1451.0
403,13105,2124.0,GEORGIA,ELBERT COUNTY,1012.0
404,13107,3055.0,GEORGIA,EMANUEL COUNTY,1689.0
405,13109,1173.0,GEORGIA,EVANS COUNTY,667.0
406,13111,1389.0,GEORGIA,FANNIN COUNTY,531.0
407,13113,3012.0,GEORGIA,FAYETTE COUNTY,1671.0
408,13115,8159.0,GEORGIA,FLOYD COUNTY,4979.0
409,13117,3337.0,GEORGIA,FORSYTH COUNTY,1547.0
410,13119,1997.0,GEORGIA,FRANKLIN COUNTY,1080.0
411,13121,88610.0,GEORGIA,FULTON COUNTY,53952.0
412,13123,1736.0,GEORGIA,GILMER COUNTY,713.0
413,13125,240.0,GEORGIA,GLASCOCK COUNTY,76.0
414,13127,6613.0,GEORGIA,GLYNN COUNTY,4368.0
415,13129,3780.0,GEORGIA,GORDON COUNTY,2231.0
416,13131,2581.0,GEORGIA,GRADY COUNTY,1499.0
417,13133,1314.0,GEORGIA,GREENE COUNTY,1012.0
418,13135,41480.0,GEORGIA,GWINNETT COUNTY,21656.0
419,13137,2495.0,GEORGIA,HABERSHAM COUNTY,1367.0
420,13139,8947.0,GEORGIA,HALL COUNTY,7041.0
421,13141,1002.0,GEORGIA,HANCOCK COUNTY,577.0
422,13143,2791.0,GEORGIA,HARALSON COUNTY,1412.0
423,13145,1339.0,GEORGIA,HARRIS COUNTY,964.0
424,13147,2091.0,GEORGIA,HART COUNTY,1164.0
425,13149,1078.0,GEORGIA,HEARD COUNTY,658.0
426,13151,15687.0,GEORGIA,HENRY COUNTY,10387.0
427,13153,10474.0,GEORGIA,HOUSTON COUNTY,8974.0
428,13155,932.0,GEORGIA,IRWIN COUNTY,442.0
429,13157,3394.0,GEORGIA,JACKSON COUNTY,2156.0
